Some(2022-05-09T03:25:59Z),"RT @susipudjiastuti: @elonmusk Hi Elon, allow me to invite you to Pangandaran my home town in the south coast of Java. Beautiful little fis…",77
Some(2022-05-09T03:25:59Z),@heydave7 @BeauMershon @iamlucasjk @elonmusk OMG !!! https://t.co/MqNAIkBHjI,0
Some(2022-05-09T03:25:59Z),RT @grandoldmemes: @elonmusk https://t.co/aQ6RSXYUnD,0
Some(2022-05-09T03:25:59Z),@elonmusk No te mueras wey!,0
Some(2022-05-09T03:25:59Z),"RT @adarpoonawalla: Hey @elonmusk just in case you don't end up buying @Twitter, do look at investing some of that capital in INDIA for hig…",0
Some(2022-05-09T03:25:59Z),"RT @elonmusk: If I die under mysterious circumstances, it’s been nice knowin ya",41
Some(2022-05-09T03:25:59Z),@blueskykites @elonmusk https://t.co/AnLOHsi3fL,0
Some(2022-05-09T03:25:59Z),@elonmusk That is the real risk you are takin. Sad but true. Look at what happen when a few presidents want to take down the current monetary system or beat dollar. We love you @elonmusk dont die please,0
Some(2022-05-09T03:25:59Z),"RT @elonmusk: If I die under mysterious circumstances, it’s been nice knowin ya",41
Some(2022-05-09T03:25:58Z),@ekibagasc @susipudjiastuti @elonmusk 😭😭😭,0
Some(2022-05-09T03:25:58Z),"@elonmusk Academic assignments can be nerve-racking sometimes, long writing tasks in particular. Our team will be of great help. Essays, online classes, thesis, research paper, Exams, etc. Reach out to us 24/7. https://t.co/mp1vph3r0R",70
Some(2022-05-09T03:25:58Z),RT @PPathole: @elonmusk Elon we will protect &amp; support you under any circumstances.,0
Some(2022-05-09T03:25:58Z),@elonmusk @TianyuanChen @mayemusk 兄弟要長命百歲啊,0
Some(2022-05-09T03:25:58Z),@timetravelart @elonmusk @mayemusk Who me,0
Some(2022-05-09T03:25:58Z),RT @SaraCarterDC: It better not happen…. I think a majority of the world has your back @elonmusk,-50
Some(2022-05-09T03:25:58Z),"@elonmusk https://t.co/nPL79hUlgE
Don't think Russians will involve themselves in such an act @elonmusk .. You hqve more enemies (political/business) in US to do that JOB",-61
Some(2022-05-09T03:25:58Z),"@elonmusk Start chanting MahaMritunjaya Mantra or else listen it.
Waves and vibrations generated from this mantra reduces the chances of mysterious and untimely death.",0
Some(2022-05-09T03:25:58Z),"RT @SirineAti: On Mother's Day, @mayemusk says \"the best gifts are hugs\" and what she is most proud of, of @elonmusk 💗

#HappyMothersDay to…",98
Some(2022-05-09T03:25:58Z),@divya_gandotra @elonmusk Please my reply consider as Elon Musk reply।,0
Some(2022-05-09T03:25:57Z),RT @veradubs: @elonmusk https://t.co/zyKI2r5YYI,0
Some(2022-05-09T03:25:57Z),"RT @elonmusk: If I die under mysterious circumstances, it’s been nice knowin ya",41
Some(2022-05-09T03:25:57Z),RT @BabyDogeCoin: @elonmusk The world needs Elon Musk,0
Some(2022-05-09T03:25:57Z),@elonmusk Yikes.. 🥲,0
Some(2022-05-09T03:25:57Z),@elonmusk @mayemusk https://t.co/oQniwDoagu,0
Some(2022-05-09T03:25:57Z),RT @elonmusk: The word “Nazi” doesn’t mean what he seems to think it does https://t.co/pk9SQhBOsG,0
Some(2022-05-09T03:25:57Z),"@elonmusk it’s also derived from the Hebrew word “Nazirite”, meaning “consecrated”. The Germanic Jews were thought to have been “God’s chosen people”, Jewish folk have long been at war with each other &amp; Hitler led the German faction. You won’t learn these things from Mainstream tho",-53
Some(2022-05-09T03:25:57Z),"@elonmusk 🤣 Their ICBM's need little blue pills to stay upright!
No worries 💙💛",50
Some(2022-05-09T03:25:57Z),@elonmusk Stay away from the Clintons,-56
Some(2022-05-09T03:25:57Z),"RT @elonmusk: If I die under mysterious circumstances, it’s been nice knowin ya",41
Some(2022-05-09T03:25:57Z),"RT @elonmusk: If I die under mysterious circumstances, it’s been nice knowin ya",41
Some(2022-05-09T03:25:57Z),@MrBeast @elonmusk It ain't his to give away,0
Some(2022-05-09T03:25:57Z),@elonmusk My response won't carry much weight ... But ....Same here.,0
Some(2022-05-09T03:25:57Z),@elonmusk Yo me encargo de tu herencia bb 🙌🖤💭,0
Some(2022-05-09T03:25:57Z),"RT @elonmusk: If I die under mysterious circumstances, it’s been nice knowin ya",41
Some(2022-05-09T03:25:57Z),"@webstermidia @stonks_ape @LillyByteGames @Timcast @elonmusk Either taxes give the medical service to everyone, or nobody gets it. That's fair. And I would rather pay less taxes, so I'm more toward nobody get it. As far as having a kid you can't afford, you should've thought about that before you had sex. Lots of ppl would adopt though.",-43
Some(2022-05-09T03:25:57Z),RT @greg_price11: @elonmusk Do you have dirt on the Clintons?,-62
Some(2022-05-09T03:25:57Z),@elonmusk We’re happy to host you here in Nairobi!! You can you lie low for a bit and take the break you need… when you are ready we are also happy to have you set up SpaceX Africa and bring Tesla onboard too!,98
Some(2022-05-09T03:25:56Z),"RT @elonmusk: If I die under mysterious circumstances, it’s been nice knowin ya",41
Some(2022-05-09T03:25:56Z),"RT @elonmusk: If I die under mysterious circumstances, it’s been nice knowin ya",41
Some(2022-05-09T03:25:56Z),"RT @ToddJCefaratti: @elonmusk I hope you are joking.

Millions of people across the world are relying on you to save liberty in the public…",-48
Some(2022-05-09T03:25:56Z),RT @jonesville: @elonmusk 👀 https://t.co/lRI9RMsvkZ,0
Some(2022-05-09T03:25:56Z),"RT @elonmusk: If I die under mysterious circumstances, it’s been nice knowin ya",41
Some(2022-05-09T03:25:56Z),"RT @elonmusk: If I die under mysterious circumstances, it’s been nice knowin ya",41
Some(2022-05-09T03:25:56Z),@elonmusk @mayemusk Without you spacex is dead. Human survival will be end.,-59
Some(2022-05-09T03:25:56Z),RT @elonmusk: .@Rogozin sent this to Russian media https://t.co/eMI08NnSby,0
Some(2022-05-09T03:25:56Z),"@jgp94 @Sam76395884 @elonmusk Re-read what I wrote carefully and replied.

Better yet, don't bother, since I've tried to educate you on effective communication and you still haven't learned.
You're not worthy of my time.

Grow up, little one.",-63
